palavra_chave,forma_encontrada,classe,superficie,tabela,coluna,proposicao,proposicao_id,documento_id,documento_textual_id,tipo_documento,unidade_autora,data,ementa,trecho,endpoint_fonte,evidencia_local
BRB,BRB,CASO,documento,documento,texto,REQ 1934/2025,151763,291828,288190,Requerimento,GAB DEP PAULA BELMONTE,2025-03-31T11:06:20,Requer o CONVITE do Presidente do Banco de Brasília - BRB para comparecer à Câmara Legislativa do Distrito Federal para explicar e debater a compra de parte das ações do Banco Master.  ,"CÂMARA LEGISLATIVA DO DISTRITO FEDERAL Gabinete da Deputada Paula Belmonte - Gab 22 Requerimento Nº, DE 2025 (Autoria: Deputada PAULA BELMONTE) Requer o CONVITE do Presidente do Banco de Brasília - BRB para comparecer à Câmara Legislativa do Distrito Federal para explicar e debater a compra de parte das ações do Banco Master. Excelentíssimo Senhor Presidente da Câmara Legislativa do Distrito Federal: Em conformidade com o art. 142, II c/c art. 255, I e §1º",https://ple.cl.df.gov.br/pleservico/api/public/proposicao/151763/documento/ativas,data/raw/documento-ativas/d11847a502435be1.json
BRB,BRB,CASO,documento,documento,texto,REQ 1937/2025,151772,291871,288379,Requerimento,GAB DEP RICARDO VALE,2025-03-31T17:09:42,"Requer a convocação do presidente do Banco de Brasília S.A (BRB), senhor Paulo Henrique Rodrigues Costa","CÂMARA LEGISLATIVA DO DISTRITO FEDERAL Gabinete do Deputado Ricardo Vale - Gab 13 Requerimento Nº, DE 2025 (Autoria: Deputados Ricardo Vale, Chico Vigilante e Gabriel Magno) Requer a convocação do Presidente do Banco de Brasília S.A (BRB), senhor Paulo Henrique Rodrigues Costa para prestar informações a esta Casa. Excelentíssimo Senhor Presidente da Câmara Legislativa do Distrito Federal: Requeremos, nos termos do art. 60, XIV da Lei Orgânica do Distrito Federal e art. 255, I, do Regimento In",https://ple.cl.df.gov.br/pleservico/api/public/proposicao/151772/documento/ativas,data/raw/documento-ativas/222ba65d5b21dcd2.json
BRB,BRB,CASO,documento,documento,texto,REQ 1938/2025,151794,291968,288588,Requerimento,GAB DEP GABRIEL MAGNO,2025-04-01T15:24:34,Requer ao Banco de Brasília o encaminhamento de informações sobre os atos e fatos relacionados ao Fato Relevante da Operação junto ao Banco Master.,"março de 2025 (doc. 01) da operação junto ao Banco Master. JUSTIFICAÇÃO Com vistas a fomentar o pleno e adequado exercício do controle externo, requer-se cópia integral de todos os atos e fatos relacionados ao Fato Relevante da aquisição do Banco Master pelo BRB, não se limitando a, mas principalmente: a) pareceres jurídicos internos e externos; b) documentos que comprovem o atendimento do art. 159 da Lei Orgânica do Distrito Federal; c) atas do Conselho de Administração que aprovaram a operação; d) plano de negóci",https://ple.cl.df.gov.br/pleservico/api/public/proposicao/151794/documento/ativas,data/raw/documento-ativas/41cd5ffa5405c51e.json
BRB,BRB,CASO,documento,documento,texto,REQ 1965/2025,151905,292532,290951,Requerimento,GAB DEP FÁBIO FÉLIX,2025-04-07T17:58:49,Requer ao Presidente do BRB S.A. informações a respeito da aquisição do Banco Master,"CÂMARA LEGISLATIVA DO DISTRITO FEDERAL Gabinete do Deputado Fábio Félix - Gab 24 Requerimento Nº, DE 2025 (Autoria: Deputado Fábio Felix) Requer ao Presidente do BRB informações a respeito da aquisição do Banco Master. Excelentíssimo Senhor Presidente da Câmara Legislativa do Distrito Federal Requeiro, nos termos do art. 41 do RICLDF, seja encaminhado ao Presidente do BRB S.A., o presente requerimento de informações, a re",https://ple.cl.df.gov.br/pleservico/api/public/proposicao/151905/documento/ativas,data/raw/documento-ativas/19417b81d021dc96.json
BRB,BRB,CASO,documento,documento,texto,REQ 2000/2025,152369,295083,296668,Requerimento,GAB DEP PAULA BELMONTE,2025-05-06T13:33:10,Requer informações ao Presidente do Banco de Brasília sobre a aquisição do Banco Master. ,"o de Brasília sobre a aquisição do Banco Master. Excelentíssimo Senhor Presidente da Câmara Legislativa do Distrito Federal: Requeiro, nos termos do art. 41 do RICLDF, encaminhamento do presente requerimento de informações ao Presidente do Bando de Brasília - BRB S.A, para esclarecimento da operação de aquisição de participação no Banco Master e demais atos correlatos de gestão estratégica, quanto aos seguintes pontos: 1. Participação societária e controle acionário Como o BRB justifica o investimento de R$ 2 bilhõ",https://ple.cl.df.gov.br/pleservico/api/public/proposicao/152369/documento/ativas,data/raw/documento-ativas/57099ca6bf1ac186.json
BRB,BRB,CASO,documento,documento,texto,REQ 2001/2025,152374,295110,296728,Requerimento,GAB DEP PAULA BELMONTE,2025-05-06T14:44:01,Requer informações ao Presidente do Banco de Brasília sobre a aquisição do Banco Master. ,"o de Brasília sobre a aquisição do Banco Master. Excelentíssimo Senhor Presidente da Câmara Legislativa do Distrito Federal: Requeiro, nos termos do art. 41 do RICLDF, encaminhamento do presente requerimento de informações ao Presidente do Banco de Brasília - BRB S.A, para esclarecimento da operação de aquisição de participação no Banco Master e demais atos correlatos de gestão estratégica, quanto aos seguintes pontos: 1. Participação societária e controle acionário Como o BRB justifica o investimento de R$ 2 bilhõ",https://ple.cl.df.gov.br/pleservico/api/public/proposicao/152374/documento/ativas,data/raw/documento-ativas/3a4035e2da770c29.json
BRB,BRB,CASO,documento,documento,texto,REQ 2028/2025,152481,295826,299668,Requerimento,GAB DEP PAULA BELMONTE,2025-05-12T15:19:34,Requer informações ao Banco de Brasília (BRB S.A.) acerca das políticas de desenvolvimento implementadas nos últimos cinco anos no âmbito do Distrito Federal.,"CÂMARA LEGISLATIVA DO DISTRITO FEDERAL Gabinete da Deputada Paula Belmonte - Gab 22 Requerimento Nº, DE 2025 (Da Senhora Deputada PAULA BELMONTE) Requer informações ao Banco de Brasília (BRB S.A) acerca das políticas de desenvolvimento econômico e social implementadas nos últimos cinco anos no âmbito do Distrito Federal. Excelentíssimo Senhor Presidente da Câmara Legislativa do Distrito Federal: Requer, nos termos do art. 42, do Regimento Interno",https://ple.cl.df.gov.br/pleservico/api/public/proposicao/152481/documento/ativas,data/raw/documento-ativas/5c8259fe0de8c560.json
BRB,BRB,CASO,documento,documento,texto,REQ 2189/2025,153759,306139,316922,Requerimento,GAB DEP PAULA BELMONTE,2025-08-13T20:48:20,Requer a CONVOCAÇÃO do Presidente do Banco de Brasília - BRB para comparecer à Câmara Legislativa do Distrito Federal para explicar e debater a compra de parte das ações do Banco Master após a decisão proferida em 13 de agosto de 2025 pela 7ª Turma Cível do Tribunal de Justiça do Distrito Federal e ,"CÂMARA LEGISLATIVA DO DISTRITO FEDERAL Gabinete da Deputada Paula Belmonte - Gab 22 Requerimento Nº, DE 2025 (Autoria: Deputada PAULA BELMONTE) Requer a CONVOCAÇÃO do Presidente do Banco de Brasília - BRB para comparecer à Câmara Legislativa do Distrito Federal para explicar e debater a compra de parte das ações do Banco Master após a decisão proferida em 13 de agosto de 2025 pela 7ª Turma Cível do Tribunal de Justiça do Distrito Federal e Territórios. Excelen",https://ple.cl.df.gov.br/pleservico/api/public/proposicao/153759/documento/ativas,data/raw/documento-ativas/e6407035ccfbfc32.json
BRB,BRB,CASO,documento,documento,texto,PL 1882/2025,153779,306332,317330,Emenda,GAB DEP RICARDO VALE,2025-08-18T09:46:10,"Autoriza o BRB - Banco de Brasília a adquirir participação em instituições financeiras sediadas no Brasil e no exterior, empresas com atividades próprias ou complementares às do setor financeiro, inclusive no ramo de tecnologia da informação (TI) e empresas com objetos sociais relacionados às ativid","CÂMARA LEGISLATIVA DO DISTRITO FEDERAL Gabinete do Deputado Ricardo Vale - Gab 13 emenda SUbSTITUTIVA (Autoria: Bancada do Partido dos Trabalhadores) Emenda ao Projeto de Lei nº 1882/2025, que “Autoriza o BRB - Banco de Brasília a adquirir participação em instituições financeiras sediadas no Brasil e no exterior, empresas com atividades próprias ou complementares às do setor financeiro, inclusive no ramo de tecnologia da informação (TI) e empresas com objetos soci",https://ple.cl.df.gov.br/pleservico/api/public/proposicao/153779/documento/ativas,data/raw/documento-ativas/a91cdb16a2fb033b.json
BRB,BRB,CASO,documento,documento,texto,PL 1882/2025,153779,306465,318020,Emenda,BPPSOL-PSB,2025-08-18T18:05:14,"Autoriza o BRB - Banco de Brasília a adquirir participação em instituições financeiras sediadas no Brasil e no exterior, empresas com atividades próprias ou complementares às do setor financeiro, inclusive no ramo de tecnologia da informação (TI) e empresas com objetos sociais relacionados às ativid","CÂMARA LEGISLATIVA DO DISTRITO FEDERAL Bloco Parlamentar PSOL-PSB emenda ADITIVA (Autoria: Bloco Parlamentar PSOL-PSB e outros) Emenda ao Projeto de Lei nº 1882/2025, que “Autoriza o BRB - Banco de Brasília a adquirir participação em instituições financeiras sediadas no Brasil e no exterior, empresas com atividades próprias ou complementares às do setor financeiro, inclusive no ramo de tecnologia da informação (TI) e empresas com objetos soci",https://ple.cl.df.gov.br/pleservico/api/public/proposicao/153779/documento/ativas,data/raw/documento-ativas/a91cdb16a2fb033b.json
