proposicao,autoria,ementa,data_leitura,dias_ate_22_09_2026,documentos_no_processo,documentos_de_resposta,respostas_legiveis,remetido_ao_sei,encerrado,etapa,id_proposicao
REQ 1000/2023,Deputada Dayse Amarilio,Requer informações à Secretaria de Estado de Educação do Distrito Federal acerca do processo eleitoral para os cargos diretivos das unidades escolares da rede pública de ensino ocorrida no mês de outubro de 2023.,2023-11-01,1056,3,0,0,sim,sim,Apresentação,17300
REQ 1001/2023,Deputado Iolando,REQUER INFORMAÇÕES DA SECRETARIA DA  PESSOA COM DEFICIÊNCIA A RESPEITO DA IMPRESSÃO E DISTRIBUIÇÃO DO CARTÃO DE IDENTIFICAÇÃO DA PESSOA COM DEFICIÊNCIA E DA CARTEIRA DE IDENTIFICAÇÃO DA PESSOA COM TRANSTORNO DE ESPECTRO AUTISTA. ,2023-11-07,1050,3,0,0,sim,sim,Apresentação,17296
REQ 1005/2023,Deputada Dayse Amarilio,Requer informações à Secretaria de Estado de Desenvolvimento Social do Distrito Federal acerca do Restaurante Comunitário do Sol Nascente/Pôr do Sol.,2023-11-14,1043,3,0,0,sim,sim,Apresentação,17391
REQ 1006/2023,"Deputada Dayse Amarilio, Deputada Dayse Amarilio",Requer informações ao Instituto de Gestão Estratégica de Saúde do Distrito Federal acerca da espera para atendimento nas Unidades de Pronto Atendimento da Ceilândia.,2023-11-14,1043,4,0,0,sim,sim,Apresentação,17400
REQ 1008/2023,Deputada Dayse Amarilio,Requer informações à Secretaria de Estado de Saúde acerca do quantitativo de vacâncias nos cargos que especifica.,2023-11-14,1043,3,0,0,sim,sim,Apresentação,17411
REQ 1011/2023,Deputada Dayse Amarilio,Requer informações à Secretaria de Estado da Casa Civil do Distrito Federal - CACI acerca da aplicação da Lei nº 6.908/21.,2023-11-14,1043,3,0,0,sim,sim,Apresentação,17429
REQ 1014/2023,Deputada Dayse Amarilio,Requer informações ao Instituto de Gestão Estratégica de Saúde do Distrito Federal acerca da espera para atendimento da Região de Saúde Centro-Sul. ,2023-11-14,1043,4,0,0,sim,sim,Apresentação,17446
REQ 1015/2023,Deputada Dayse Amarilio,Requer informações à Secretaria de Estado de Saúde do Distrito Federal acerca do tempo de espera pelo atendimento no Hospital Regional do Guará. ,2023-11-14,1043,3,0,0,sim,sim,Apresentação,17448
REQ 1024/2023,Deputado Ricardo Vale,Requer o encaminhamento de pedido de informações à Secretaria de Estado de Educação do Distrito Federal.,2023-11-21,1036,3,0,0,sim,sim,Apresentação,17498
REQ 1036/2023,Deputada Dayse Amarilio,Requer informações à Secretaria de Estado de Saúde do Distrito Federal acerca da fila para hemodiálise.,2023-11-23,1034,3,0,0,sim,sim,Apresentação,17573
REQ 1044/2023,Deputada Dayse Amarilio,Requer informações à Secretaria de Estado da Mulher do Distrito Federal - SMDF acerca dos recursos para os órfãos de feminicídio e das vagas de emprego para as mulheres vítimas de violência doméstica.,2023-11-28,1029,3,0,0,sim,sim,Apresentação,17663
REQ 1047/2023,Deputada Dayse Amarilio,Requer informações à Secretaria de Estado de Saúde do Distrito Federal acerca dos cargos da Secretaria de Estado de Saúde que especifica.,2023-12-05,1022,3,0,0,sim,sim,Apresentação,17689
REQ 1053/2023,Deputada Dayse Amarilio,Requer informações à Secretaria de Estado de Saúde do Distrito Federal acerca do fluxograma da SES para pacientes necessitados de hemodiálise.,2023-12-06,1021,3,0,0,sim,sim,Apresentação,17761
REQ 1056/2023,Deputada Dayse Amarilio,Requer informações à Secretaria de Estado de Saúde do Distrito Federal acerca da situação do paciente Odaílton de Souza com fratura exposta há nove meses.,2023-12-12,1015,3,0,0,sim,sim,Apresentação,17776
REQ 1058/2023,Deputada Dayse Amarilio,Requer informações à Secretaria de Estado de Obras e Infraestrutura - SODF acerca da execução e conclusão do contrato nº 017/2022 que trata de obras de urbanização no Sol Nascente.,2023-12-12,1015,3,0,0,sim,sim,Apresentação,17814
REQ 1061/2023,Deputado Max Maciel,Requer o encaminhamento de solicitação de informações à Secretaria de Estado de Saúde sobre a atenção em saúde à interrupção gestacional no Distrito Federal.,2023-12-12,1015,3,0,0,sim,sim,Apresentação,17644
REQ 107/2023,Deputada Dayse Amarilio,"Requer informações ao Instituto de Gestão Estratégica de Saúde do Distrito Federal acerca dos acontecimentos que culminaram no falecimento da senhora Maria Auciliadora do Nascimento.
",2023-02-07,1323,3,0,0,sim,sim,Apresentação,10423
REQ 1073/2024,Deputado Pastor Daniel de Castro,"Requer informações à Secretaria de Estado de Proteção da Ordem Urbanística do Distrito Federal (DF LEGAL) a respeito de quais operações foram realizadas em 2023, na região denominada ""26 de Setembro"".",2024-02-01,964,3,0,0,sim,sim,Apresentação,17978
REQ 108/2023,Deputada Dayse Amarilio,"
Requer informações à Secretaria de Estado de Saúde do Distrito Federal acerca dos acontecimentos que culminaram no falecimento da senhora Maria Auciliadora do Nascimento.

",2023-02-07,1323,3,0,0,sim,sim,Apresentação,10422
REQ 1080/2024,Deputada Dayse Amarilio,Requer informações à Secretaria de Estado de Desenvolvimento Social do Distrito Federal - SEDES acerca da reativação e revitalização do Centro de Convivência do Idoso da Estrutural.,2024-02-01,964,3,0,0,sim,sim,Apresentação,18061
REQ 1082/2024,Deputado Fábio Felix,Requer informações à Secretaria de Saúde do Distrito Federal sobre a contratação de Agentes de Vigilância Ambiental em Saúde (AVAS) e Agentes Comunitários de Saúde (ACS).,2024-02-06,959,3,0,0,sim,sim,Apresentação,18054
REQ 1083/2024,Deputado Fábio Felix,"Requer informações ao Poder Executivo sobre a aplicação dos critérios de priorização do atendimento às famílias em situação de risco, atingidas por remoções decorrentes de intervenções públicas, estado de emergência ou calamidade pública no âmbito da política habitacional do Distrito Federal.

 ",2024-02-06,959,3,0,0,sim,sim,Apresentação,18044
REQ 1084/2024,Deputado Fábio Felix,Requer informações à SEMOB acerca dos bloqueios e multas impostos aos usuários do Passe Livre Estudantil no DF.,2024-02-06,959,3,0,0,sim,sim,Apresentação,18015
REQ 1122/2024,Deputada Dayse Amarilio,Requer informações à Secretaria de Estado de Saúde do Distrito Federal acerca da nomeação de Agentes de Vigilância Ambiental em Saúde (AVAS) e Agentes Comunitários de Saúde (ACS).,2024-02-15,950,3,0,0,sim,sim,Apresentação,18181
REQ 1123/2024,Deputada Dayse Amarilio,Requer informações à Secretaria de Estado de Saúde do Distrito Federal - SES acerca do fluxograma para a compra de testes rápidos de dengue.,2024-02-15,950,3,0,0,sim,sim,Apresentação,18184
REQ 1124/2024,Deputada Dayse Amarilio,Requer informações à Secretaria de Estado de Saúde do Distrito Federal - SES acerca do pagamento de adicional de insalubridade aos servidores da Administração Central da Secretaria de Saúde - ADMC/SES que estão trabalhando nas tendas e hospitais de campanha contra a dengue.,2024-02-15,950,3,0,0,sim,sim,Apresentação,18185
REQ 1126/2024,Deputada Dayse Amarilio,Requer informações à Secretaria de Estado de Saúde do Distrito Federal - SES acerca do quantitativo de viaturas do Serviço de Atendimento Móvel de Urgência (SAMU) em funcionamento e eventuais problemas correlatos.,2024-02-15,950,4,0,0,sim,sim,Apresentação,18200
REQ 1130/2024,Deputada Dayse Amarilio,"Requer informações à Secretaria de Estado da Mulher do Distrito Federal - SMDF acerca da construção do Espaço Acolher, antigo NAFAVD, na Região Administrativa do Guará.",2024-02-20,945,3,0,0,sim,sim,Apresentação,18300
