data,tipo_documento,proposicao,proposicao_id,documento_id,documento_textual_id,unidade,sessoes_registradas_na_data,palavras_no_texto,sha256_corpo,endpoint_fonte,evidencia_local,inicio_do_texto
2025-08-20,Folha de Votação,PL 1882/2025,153779,306645,,SELEG,SOLENE nº 53 | ORDINARIA nº 66,,6b7497cd66e5daaf24b59a08528a674b6ae083e8b36794dc70d323859f4cbd31,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/153779/documento/ativas,data/raw/documento-ativas/a91cdb16a2fb033b.json,
2025-08-20,Folha de Votação,PL 1882/2025,153779,306654,,SELEG,SOLENE nº 53 | ORDINARIA nº 66,,b1ab96966238c9da783afca94a148713e3260251124b032c265577d778252308,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/153779/documento/ativas,data/raw/documento-ativas/a91cdb16a2fb033b.json,
2025-08-20,Folha de Votação,PL 1882/2025,153779,306648,,SELEG,SOLENE nº 53 | ORDINARIA nº 66,,3bd6440df4c70efb7348613e75c203a1bab226ccdf945e9dc68416d956d0ef8f,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/153779/documento/ativas,data/raw/documento-ativas/a91cdb16a2fb033b.json,
2025-08-20,Folha de Votação,PL 1882/2025,153779,306653,,SELEG,SOLENE nº 53 | ORDINARIA nº 66,,10f684a220a61bb9eac601916c6637d92a5eb1f786db2b6db39b477601de099f,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/153779/documento/ativas,data/raw/documento-ativas/a91cdb16a2fb033b.json,
2026-03-04,Folha de Votação,PL 2175/2026,156411,326047,,SELEG,ORDINARIA nº 12 | SOLENE nº 158,,a45d8261bead7745d73ebf83f3a21c439af036f589b9159dd819f3a269604b42,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/156411/documento/ativas,data/raw/documento-ativas/28308ee15c2f8091.json,
2026-03-04,Folha de Votação,PL 2175/2026,156411,326048,,SELEG,ORDINARIA nº 12 | SOLENE nº 158,,2303e91efbbe0c0bed7bdfc72f4bea790a63fe5119dc7f9aa9ab7bdd115f4d7c,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/156411/documento/ativas,data/raw/documento-ativas/28308ee15c2f8091.json,
2026-03-04,Folha de Votação,PL 2175/2026,156411,326051,,SELEG,ORDINARIA nº 12 | SOLENE nº 158,,63a0fb1062e1fdf23f774d19ac6d447a55afe1cc2f932c36a4cfce3a4ae50ae0,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/156411/documento/ativas,data/raw/documento-ativas/28308ee15c2f8091.json,
2026-03-04,Folha de Votação,PL 2175/2026,156411,326052,,SELEG,ORDINARIA nº 12 | SOLENE nº 158,,d6c90be481f7f1037f0e3f3bf2bd37526f97feb33e761fb777f2ab47bd0fe34d,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/156411/documento/ativas,data/raw/documento-ativas/28308ee15c2f8091.json,
2026-03-04,Folha de Votação,REQ 2613/2026,156388,326069,,SELEG,ORDINARIA nº 12 | SOLENE nº 158,,ffb537b851b8e21e8a8e4610356ee580874ffd425439ece528fc17327b097d55,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/156388/documento/ativas,data/raw/documento-ativas/64446fba4f0af7b9.json,
2026-03-16,Folha de Votação,REQ 2653/2026,156585,326901,358713,CCJ,SOLENE nº 167,BRB,37600c06da3a48f3e70411cfe1ee5ed2524a67a89623f5b37c8e97946f5696d6,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/156585/documento/ativas,data/raw/documento-ativas/2bc2da65b09d013a.json,CÂMARA LEGISLATIVA DO DISTRITO FEDERAL Comissão de Constituição e Justiça Folha de votação Requerimento 2653/2026 Requer a convocação do Sr. Secretário de Estado de Economia do Distrito Federal e do Sr. Presidente do Banco de Brasília - BRB para que prestem pessoalmente esclarecimentos sobre a situação financeira do Banco de Brasília e sobre as medidas de socorro necessárias. Autoria: Deputado Thi
