tipo_documento,no_acervo,com_texto_legivel,percentual_legivel
Despacho,60736,60523,"99,6"
Folha de Votação,12264,2891,"23,6"
Ofício,12247,0,"0,0"
Indicação,12178,12170,"99,9"
Emenda,11462,8357,"72,9"
Folha de votação - Indicação,9989,618,"6,2"
Parecer,5902,3707,"62,8"
Designação de Relator,4427,0,"0,0"
Anexo,4156,0,"0,0"
Requerimento,3723,3713,"99,7"
Publicação,3316,0,"0,0"
Projeto de Lei,3114,2630,"84,5"
Moção,3042,3042,"100,0"
Redação Final,2692,1266,"47,0"
Mensagem,1921,0,"0,0"
Portaria GMD,1245,0,"0,0"
Lei,607,0,"0,0"
Projeto de Decreto Legislativo,564,564,"100,0"
Decreto Legislativo,330,0,"0,0"
Notas Taquigráficas,291,0,"0,0"
Mensagem - Poder Executivo,254,0,"0,0"
Estudo,189,2,"1,1"
Ata,181,168,"92,8"
Relatório de Veto,168,166,"98,8"
Nota Técnica,167,134,"80,2"
Estatuto,157,157,"100,0"
Projeto de Lei Complementar,150,80,"53,3"
Projeto de Resolução,104,104,"100,0"
Consulta,66,0,"0,0"
Proc,60,0,"0,0"
Resolução,53,0,"0,0"
Folha de Votação - Destaque,38,18,"47,4"
Memorando,32,0,"0,0"
Proposta de Emenda à Lei Orgânica,29,24,"82,8"
Lei Complementar,26,0,"0,0"
Exposição de Motivos,26,0,"0,0"
Manifestação,21,21,"100,0"
Decreto,21,0,"0,0"
Recurso,10,10,"100,0"
Edital,7,0,"0,0"
Voto em Separado,4,4,"100,0"
Questão de Ordem,4,1,"25,0"
Subemenda,2,0,"0,0"
Emenda à Lei Orgânica,2,0,"0,0"
Sugestão Legislativa,1,0,"0,0"
Resultado de Pauta,1,0,"0,0"
Relatório Prévio,1,1,"100,0"
Oitiva,1,0,"0,0"
