data,materia,tipo_votacao,resultado,sim,nao,abstencao,sessoes_na_data,votaram_SIM,votaram_NAO,abstiveram,ementa
2025-08-19,"PL Nº 1882/2025 - PARECER CDESCTMAT, CEOF E CCJ",SIMBOLICA,APROVADA,0,0,0,SOLENE nº 51 (sk 1890) | ORDINARIA nº 65 (sk 1891) | EXTRAORDINARIA nº 18 (sk 1892) | SOLENE nº 52 (sk 1893),,,,"AUTORIA: PODER EXECUTIVO  RELATORIAS: ROGÉRIO MORRO DA CRUZ - CDESCTMAT, EDUARDO PEDROSA - CEOF, ROBÉRIO NEGREIROS - CCJ  AUTORIZA O BRB - BANCO DE BRASÍLIA A ADQUIRIR PARTICIPAÇÃO EM INSTITUIÇÕES FINANCEIRAS SEDIADAS NO BRASIL E NO EXTERIOR, EMPRESAS COM ATIVIDADES PRÓPRIAS OU COMPLEMENTARES ÀS DO "
2025-08-19,PL Nº 1882/2025 - 1º TURNO,NOMINAL,APROVADA,15,7,0,SOLENE nº 51 (sk 1890) | ORDINARIA nº 65 (sk 1891) | EXTRAORDINARIA nº 18 (sk 1892) | SOLENE nº 52 (sk 1893),DOUTORA JANE (MDB); EDUARDO PEDROSA (UNIÃO); HERMETO (MDB); IOLANDO (MDB); JAQUELINE SILVA (MDB); JORGE VIANNA (PSD); JOÃO CARDOSO (AVANTE); MARTINS MACHADO (REPUBLICANOS); PASTOR DANIEL DE CASTRO (PP); PEPA (PP); ROBÉRIO NEGREIROS (PSD); ROGERIO MORRO DA CRUZ (PRD); ROOSEVELT VILELA (PL); THIAGO MANZONI (PL); WELLINGTON LUIZ (MDB),CHICO VIGILANTE (PT); DAYSE AMARILIO (PSB); FÁBIO FELIX (PSOL); GABRIEL MAGNO (PT); MAX MACIEL (PSOL); PAULA BELMONTE (CIDADANIA); RICARDO VALE (PT),,"AUTORIA: PODER EXECUTIVO  AUTORIZA O BRB - BANCO DE BRASÍLIA A ADQUIRIR PARTICIPAÇÃO EM INSTITUIÇÕES FINANCEIRAS SEDIADAS NO BRASIL E NO EXTERIOR, EMPRESAS COM ATIVIDADES PRÓPRIAS OU COMPLEMENTARES ÀS DO SETOR FINANCEIRO, INCLUSIVE NO RAMO DE TECNOLOGIA DA INFORMAÇÃO (TI) E EMPRESAS COM OBJETOS SOCI"
2025-08-19,PL Nº 1882/2025 - 2º TURNO,NOMINAL,APROVADA,14,7,0,SOLENE nº 51 (sk 1890) | ORDINARIA nº 65 (sk 1891) | EXTRAORDINARIA nº 18 (sk 1892) | SOLENE nº 52 (sk 1893),DOUTORA JANE (MDB); EDUARDO PEDROSA (UNIÃO); HERMETO (MDB); IOLANDO (MDB); JAQUELINE SILVA (MDB); JORGE VIANNA (PSD); JOÃO CARDOSO (AVANTE); MARTINS MACHADO (REPUBLICANOS); PASTOR DANIEL DE CASTRO (PP); PEPA (PP); ROBÉRIO NEGREIROS (PSD); ROGERIO MORRO DA CRUZ (PRD); ROOSEVELT VILELA (PL); WELLINGTON LUIZ (MDB),CHICO VIGILANTE (PT); DAYSE AMARILIO (PSB); FÁBIO FELIX (PSOL); GABRIEL MAGNO (PT); MAX MACIEL (PSOL); PAULA BELMONTE (CIDADANIA); RICARDO VALE (PT),,"AUTORIA: PODER EXECUTIVO  AUTORIZA O BRB - BANCO DE BRASÍLIA A ADQUIRIR PARTICIPAÇÃO EM INSTITUIÇÕES FINANCEIRAS SEDIADAS NO BRASIL E NO EXTERIOR, EMPRESAS COM ATIVIDADES PRÓPRIAS OU COMPLEMENTARES ÀS DO SETOR FINANCEIRO, INCLUSIVE NO RAMO DE TECNOLOGIA DA INFORMAÇÃO (TI) E EMPRESAS COM OBJETOS SOCI"
2025-08-19,"PL Nº 1882/2025 - PARECER 2º TURNO CDESCTMAT, CEOF E CCJ",NOMINAL,APROVADA,14,7,0,SOLENE nº 51 (sk 1890) | ORDINARIA nº 65 (sk 1891) | EXTRAORDINARIA nº 18 (sk 1892) | SOLENE nº 52 (sk 1893),DOUTORA JANE (MDB); EDUARDO PEDROSA (UNIÃO); HERMETO (MDB); IOLANDO (MDB); JAQUELINE SILVA (MDB); JORGE VIANNA (PSD); JOÃO CARDOSO (AVANTE); MARTINS MACHADO (REPUBLICANOS); PASTOR DANIEL DE CASTRO (PP); PEPA (PP); ROGERIO MORRO DA CRUZ (PRD); ROOSEVELT VILELA (PL); THIAGO MANZONI (PL); WELLINGTON LUIZ (MDB),CHICO VIGILANTE (PT); DAYSE AMARILIO (PSB); FÁBIO FELIX (PSOL); GABRIEL MAGNO (PT); MAX MACIEL (PSOL); PAULA BELMONTE (CIDADANIA); RICARDO VALE (PT),,"AUTORIA: PODER EXECUTIVO  RELATORIAS: ROGÉRIO MORRO DA CRUZ - CDESCTMAT, EDUARDO PEDROSA - CEOF, ROBÉRIO NEGREIROS - CCJ  AUTORIZA O BRB - BANCO DE BRASÍLIA A ADQUIRIR PARTICIPAÇÃO EM INSTITUIÇÕES FINANCEIRAS SEDIADAS NO BRASIL E NO EXTERIOR, EMPRESAS COM ATIVIDADES PRÓPRIAS OU COMPLEMENTARES ÀS DO "
2025-11-25,PDL 393/2025 - TURNO ÚNICO,NOMINAL,APROVADA,16,6,0,EXTRAORDINARIA nº 31 (sk 2028) | ORDINARIA nº 105 (sk 2034),DANIEL DONIZET (MDB); DOUTORA JANE (REPUBLICANOS); EDUARDO PEDROSA (UNIÃO); HERMETO (MDB); IOLANDO (MDB); JAQUELINE SILVA (MDB); JOAQUIM RORIZ NETO (PL); JORGE VIANNA (PSD); JOÃO CARDOSO (AVANTE); MARTINS MACHADO (REPUBLICANOS); PASTOR DANIEL DE CASTRO (PP); PEPA (PP); ROBÉRIO NEGREIROS (PSD); ROGERIO MORRO DA CRUZ (PRD); ROOSEVELT VILELA (PL); WELLINGTON LUIZ (MDB),CHICO VIGILANTE (PT); DAYSE AMARILIO (PSB); FÁBIO FELIX (PSOL); GABRIEL MAGNO (PT); MAX MACIEL (PSOL); RICARDO VALE (PT),,"INDICAÇÃO DO SENHOR NELSON ANTÔNIO DE SOUZA PARA OCUPAR O CARGO DE DIRETOR-PRESIDENTE DO BANCO DE BRASÍLIA - BRB, NOS TERMOS DO ART. 100, XV, C/C O ART. 60, XXXV, DA LEI ORGÂNICA DO DISTRITO FEDERAL.  AUTORIA: CEOF"
2025-11-25,PDL 393/2025 - PARECER CCJ,SIMBOLICA,APROVADA,0,0,0,EXTRAORDINARIA nº 31 (sk 2028) | ORDINARIA nº 105 (sk 2034),,,,"AUTORIA: CEOF  RELATORIA: IOLANDO - CCJ  INDICAÇÃO DO SENHOR NELSON ANTÔNIO DE SOUZA PARA OCUPAR O CARGO DE DIRETOR-PRESIDENTE DO BANCO DE BRASÍLIA - BRB, NOS TERMOS DO ART. 100, XV, C/C O ART. 60, XXXV, DA LEI ORGÂNICA DO DISTRITO FEDERAL."
2026-03-03,PL 2175/2026 - PARECERES  CAF E CEOF,SIMBOLICA,APROVADA,0,0,0,EXTRAORDINARIA nº 2 (sk 2079) | ORDINARIA nº 11 (sk 2092),,,,"AUTORIA: PODER EXECUTIVO  DISPÕE SOBRE AS MEDIDAS A SEREM ADOTADAS PELO DISTRITO FEDERAL, NA CONDIÇÃO DE ACIONISTA CONTROLADOR, PARA O RESTABELECIMENTO E FORTALECIMENTO DAS CONDIÇÕES ECONÔMICO-FINANCEIRAS DO BANCO DE BRASÍLIA S.A. – BRB, E DÁ OUTRAS PROVIDÊNCIAS.  RELATORIAS:  HERMETO - CAF E EDUARD"
2026-03-03,PL 2175/2026 - 1° TURNO,NOMINAL,APROVADA,14,10,0,EXTRAORDINARIA nº 2 (sk 2079) | ORDINARIA nº 11 (sk 2092),DANIEL DONIZET (MDB); DOUTORA JANE (REPUBLICANOS); EDUARDO PEDROSA (UNIÃO); HERMETO (MDB); IOLANDO (MDB); JAQUELINE SILVA (MDB); JOAQUIM RORIZ NETO (PL); JORGE VIANNA (PSD); MARTINS MACHADO (REPUBLICANOS); PASTOR DANIEL DE CASTRO (PP); PEPA (PP); ROBÉRIO NEGREIROS (PSD); ROOSEVELT VILELA (PL); WELLINGTON LUIZ (MDB),CHICO VIGILANTE (PT); DAYSE AMARILIO (PSB); FÁBIO FELIX (PSOL); GABRIEL MAGNO (PT); JOÃO CARDOSO (AVANTE); MAX MACIEL (PSOL); PAULA BELMONTE (INVÁLIDO); RICARDO VALE (PT); ROGERIO MORRO DA CRUZ (PRD); THIAGO MANZONI (PL),,"AUTORIA: PODER EXECUTIVO  DISPÕE SOBRE AS MEDIDAS A SEREM ADOTADAS PELO DISTRITO FEDERAL, NA CONDIÇÃO DE ACIONISTA CONTROLADOR, PARA O RESTABELECIMENTO E FORTALECIMENTO DAS CONDIÇÕES ECONÔMICO-FINANCEIRAS DO BANCO DE BRASÍLIA S.A. – BRB, E DÁ OUTRAS PROVIDÊNCIAS."
2026-03-03,PL 2175/2026 - 2° TURNO,NOMINAL,APROVADA,14,10,0,EXTRAORDINARIA nº 2 (sk 2079) | ORDINARIA nº 11 (sk 2092),DANIEL DONIZET (MDB); DOUTORA JANE (REPUBLICANOS); EDUARDO PEDROSA (UNIÃO); HERMETO (MDB); IOLANDO (MDB); JAQUELINE SILVA (MDB); JOAQUIM RORIZ NETO (PL); JORGE VIANNA (PSD); MARTINS MACHADO (REPUBLICANOS); PASTOR DANIEL DE CASTRO (PP); PEPA (PP); ROBÉRIO NEGREIROS (PSD); ROOSEVELT VILELA (PL); WELLINGTON LUIZ (MDB),CHICO VIGILANTE (PT); DAYSE AMARILIO (PSB); FÁBIO FELIX (PSOL); GABRIEL MAGNO (PT); JOÃO CARDOSO (AVANTE); MAX MACIEL (PSOL); PAULA BELMONTE (INVÁLIDO); RICARDO VALE (PT); ROGERIO MORRO DA CRUZ (PRD); THIAGO MANZONI (PL),,"AUTORIA: PODER EXECUTIVO  DISPÕE SOBRE AS MEDIDAS A SEREM ADOTADAS PELO DISTRITO FEDERAL, NA CONDIÇÃO DE ACIONISTA CONTROLADOR, PARA O RESTABELECIMENTO E FORTALECIMENTO DAS CONDIÇÕES ECONÔMICO-FINANCEIRAS DO BANCO DE BRASÍLIA S.A. – BRB, E DÁ OUTRAS PROVIDÊNCIAS."
2026-03-03,RQ 2613/ 2026,NOMINAL,REPROVADO,9,15,0,EXTRAORDINARIA nº 2 (sk 2079) | ORDINARIA nº 11 (sk 2092),CHICO VIGILANTE (PT); DAYSE AMARILIO (PSB); FÁBIO FELIX (PSOL); GABRIEL MAGNO (PT); JOAQUIM RORIZ NETO (PL); MAX MACIEL (PSOL); PAULA BELMONTE (INVÁLIDO); RICARDO VALE (PT); THIAGO MANZONI (PL),DANIEL DONIZET (MDB); DOUTORA JANE (REPUBLICANOS); EDUARDO PEDROSA (UNIÃO); HERMETO (MDB); IOLANDO (MDB); JAQUELINE SILVA (MDB); JORGE VIANNA (PSD); JOÃO CARDOSO (AVANTE); MARTINS MACHADO (REPUBLICANOS); PASTOR DANIEL DE CASTRO (PP); PEPA (PP); ROBÉRIO NEGREIROS (PSD); ROGERIO MORRO DA CRUZ (PRD); ROOSEVELT VILELA (PL); WELLINGTON LUIZ (MDB),,AUTORIA: THIAGO MANZONI  REQUER A CONVOCAÇÃO DO SR. SECRETÁRIO DE ESTADO DE ECONOMIA DO DISTRITO FEDERAL E DO SR. PRESIDENTE DO BANCO DE BRASÍLIA - BRB PARA QUE PRESTEM ESCLARECIMENTOS SOBRE A SITUAÇÃO FINANCEIRA DO BANCO DE BRASÍLIA E SOBRE AS MEDIDAS DE SOCORRO NECESSÁRIAS.
